Brand ID,Brand Name,Brand Logo,Brand Urls
MZ_BRAND_0000007773,Caption by Hyatt,Caption_logo_Y8zCQxj.jpeg,https://www.hyatt.com/brands/caption-by-hyatt
MZ_BRAND_0000001521,Childrens Dental Centers,download.jpeg,https://www.greatstartgreatsmiles.com/
MZ_BRAND_0000004788,Lehi Bakery,Lehi.jpeg,https://www.lehibakery.com/
MZ_BRAND_0000007659,Dental Dreams,images_Io0DXA5.jpeg,https://www.dentaldreams.com/
MZ_BRAND_0000003603,Meineke Car Care Centers/Econo Lube,Meineke_Car_Care_CentersEcono_Lube.jpeg,https://www.econolube.com/
MZ_BRAND_0000000675,BJ's Wholesale Club,BJs_Wholesale_Club.jpeg,https://www.bjs.com/
MZ_BRAND_0000007789,Rise Southern Biscuits & Righteous Chicken,RISE.jpeg,https://risebiscuitschicken.com/
MZ_BRAND_0000006115,Winchell's Donut House,Winchells_Donut_House.jpeg,https://winchells.com/
MZ_BRAND_0000006631,Haven,Haven_logo.jpeg,https://haventampa.com/
MZ_BRAND_0000007962,Cine Lounge,CineLounge_P3vKKp2.jpeg,https://www.cinelounge.com/
MZ_BRAND_0000006934,hopebridge,Hopebridge.jpeg,https://www.hopebridge.com/
MZ_BRAND_0000004622,Rent King,Rent_King.jpeg,https://www.myrentking.com/
MZ_BRAND_0000000541,bd's Mongolian Grill,bds_Mongolian_Grill.jpeg,https://www.bdsgrill.com/
MZ_BRAND_0000007025,Honolulu Sushi,download_tqFdSKp.jpg,https://honolulusushi.com/
MZ_BRAND_0000007948,AKT,1b8ebffa.jpg,https://www.theakt.com/
MZ_BRAND_0000002131,PETNET Solutions,siemens.jpg,https://www.siemens-healthineers.com/molecular-imaging/petnet
MZ_BRAND_0000001604,BE Orthodontics,BE_Logo_dW7qMI9.jpg,https://beorthodontics.com/
MZ_BRAND_0000007857,Rainforest Carwash & Oil Change,Rainforest_Carwash__Oil_Change_L83be0b.jpg,https://rfwash.com/
MZ_BRAND_0000003396,Complete Dental Care,CompleteDentalCare.jpg,https://www.completedental-al.com/
MZ_BRAND_0000006809,Affiliated Dental Specialists,images_affialiated_pu4YsRV.jpg,https://affiliateddentalspecialists.com/
MZ_BRAND_0000000250,American Lubefast (ALF),american-lube-fast-logo-512x512-01.jpg,https://lubefast.com/locations/
MZ_BRAND_0000006900,AuraSmile Dental,logo-aurasmiledental_l5qVg0l.jpg,https://aurasmiledental.com/
MZ_BRAND_0000006500,Soapy Joe's Car Wash,images_eVkkIZE.jpg,https://soapyjoescarwash.com/
MZ_BRAND_0000007707,Sioux Falls Smiles,Logo-C-SiouxFalls-Web_SxfvoUv.jpg,https://siouxfallssmiles.com/
MZ_BRAND_0000002116,Flynn's Tire,599179.jpg,https://www.flynnstire.com/
MZ_BRAND_0000000500,Barberitos,BARB-Logo-Header.jpg,https://barberitos.com/
MZ_BRAND_0000001308,Cobblestone Inn & Suites,cobblestone_hotels_logo.jpg,https://staycobblestone.com/
MZ_BRAND_0000007620,Dollop Coffee Co.,Dollop-Logo.jpg,https://www.dollopcoffee.com/
MZ_BRAND_0000007964,Peachtree Immediate Care,peachtree_logo_1.jpg,https://www.peachtreemed.com/
MZ_BRAND_0000006208,Yoga Six,download_mQjVuBd.jpg,https://www.yogasix.com/
MZ_BRAND_0000003898,Newk's Eatery,400x400.jpg,https://newks.com/
MZ_BRAND_0000007641,The Smoked Taco,THESMOKED_X6cAwE4.jpg,https://www.thesmokedtaco.com/
MZ_BRAND_0000007435,Auntie Anne's Pretzels,396910LOGO.jpg,https://www.auntieannes.com/
MZ_BRAND_0000007529,Blue Sky Express Car Wash,blue-sky-logo_cNFHA7J.jpg,https://blueskyexpress.com/
MZ_BRAND_0000000929,by CHLOE,by_CHLOE_fj5Qa4G.jpg,https://www.instagram.com/chefchloe/?hl=en
MZ_BRAND_0000006102,High Tide Dentistry,HTD-LOGO-RGB-Web_Qgct208.jpg,https://www.hightidedentistry.com/
MZ_BRAND_0000005100,Sonny’s Real Pit Bar-B-Q,kisspng-barbecue-grill-sonnys-bbq-barbecue-restaurant-foo-gold-gala-2-1_4awehP4.jpg,https://www.sonnysbbq.com/
MZ_BRAND_0000007647,Rush Bowls,Rush_Bowls_Logo.jpg,https://rushbowls.com/
MZ_BRAND_0000000994,Canyon Ranch,Canyon_Ranch_Logo.jpg,https://www.canyonranch.com/
MZ_BRAND_0000007497,Carolina Dental Docs,carolina_dental_docs.jpg,http://carolinadentaldocs.com/
MZ_BRAND_0000007888,BLISS Car Wash,download.jpg,https://blisscarwash.com/
MZ_BRAND_0000007739,Hang 10 Car Wash,Hang_10_Car_Wash_Z4KQdml.jpg,https://hang10carwash.com/
MZ_BRAND_0000006494,Waters Edge Winery,266_43697_640x360_640x360.jpg,https://wewba.com/
MZ_BRAND_0000007785,First Choice Dental,first-choice.jpg,https://www.firstchoicedental.com/
MZ_BRAND_0000003242,Lebanese Taverna,lebanese-taverna-big_VBy0ikd.jpg,https://www.lebanesetaverna.com/
MZ_BRAND_0000005087,Soccer Post,SOCCER-POST-MASTER-LOGO-LARGE_K7elslI.jpg,https://soccerpost.com/
MZ_BRAND_0000005202,Steak 'n Shake,Steak_n_Shake.jpg,https://www.steaknshake.com/
MZ_BRAND_0000004867,Save-A-Lot,SaveALotLogo.jpg,https://savealot.com/
MZ_BRAND_0000003527,Massage Envy,Massage-Envy-Logo.jpg,https://www.massageenvy.com/
MZ_BRAND_0000001786,Eggs Up Grill,EUG-Social.jpg,https://eggsupgrill.com/
MZ_BRAND_0000006008,Milcarsky's Appliance Centre,Milcarskys.jpg,https://www.milcarsky.com/
MZ_BRAND_0000001719,PayMore,paymore.jpg,https://paymore.com/
MZ_BRAND_0000005850,United Grocery Outlet,United_Grocery_Outlet_Logo.jpg,https://www.myugo.com/
MZ_BRAND_0000003596,MedMen,MedMen.jpg,https://medmen.com/
MZ_BRAND_0000002898,Alcovy Family and Cosmetic Dentistry,AlcovyFamilyCosmeticDentistry_0djMHJA.png,https://alcovydental.com/
MZ_BRAND_0000007745,PET CLUB,PET-CLUB.png,https://www.petclubstores.com/
MZ_BRAND_0000006097,Wild Birds Unlimited,Wild_Birds_Unlimited.png,https://www.wbu.com/
MZ_BRAND_0000002454,Great Clips,Great_Clips.png,https://www.greatclips.com/
MZ_BRAND_0000000326,Arden's Garden,Ardens_Garden.png,https://www.ardensgarden.com/
MZ_BRAND_0000003332,Loaf 'N Jug,Loaf_N_Jug.png,https://www.loafnjug.com/
MZ_BRAND_0000006439,Taylor Food Mart,Taylor_Food_Mart.png,https://cefcostores.com/location/taylor-food-2040-amarillo-tx/
MZ_BRAND_0000007759,Tapestry Collection by Hilton,Tapestry_Collection_by_Hilton.png,https://www.hilton.com/en/brands/tapestry-collection/
MZ_BRAND_0000004660,Rita's Italian Ice,Ritas_Italian_Ice.png,https://www.ritasice.com/
MZ_BRAND_0000002554,Hannaford Supermarkets,Hannaford_logo.svg.png,https://www.hannaford.com/
MZ_BRAND_0000006302,Wyndham Garden Hotels,Wyndham_Garden_Hotels.png,https://www.wyndhamhotels.com/wyndham-garden
